MapDate,RegionName,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220705,I,20.30,79.70,39.70,0.00,0.00,0.00,2022-07-05,2022-07-11,1
20220705,II,67.48,32.52,3.42,0.46,0.00,0.00,2022-07-05,2022-07-11,1
20220705,III,78.21,21.79,2.10,0.00,0.00,0.00,2022-07-05,2022-07-11,1
20220705,IV,29.74,70.26,33.14,4.98,0.00,0.00,2022-07-05,2022-07-11,1
20220628,I,27.78,72.22,23.14,0.00,0.00,0.00,2022-06-28,2022-07-04,1
20220628,II,81.27,18.73,3.92,1.02,0.00,0.00,2022-06-28,2022-07-04,1
20220628,III,84.99,15.01,0.60,0.00,0.00,0.00,2022-06-28,2022-07-04,1
20220628,IV,25.52,74.48,26.66,3.62,0.00,0.00,2022-06-28,2022-07-04,1
20220621,I,60.67,39.33,7.37,0.00,0.00,0.00,2022-06-21,2022-06-27,1
20220621,II,86.33,13.67,3.92,0.48,0.00,0.00,2022-06-21,2022-06-27,1
20220621,III,86.99,13.01,0.60,0.00,0.00,0.00,2022-06-21,2022-06-27,1
20220621,IV,47.30,52.70,13.39,1.91,0.00,0.00,2022-06-21,2022-06-27,1
20220614,I,65.68,34.32,7.37,0.00,0.00,0.00,2022-06-14,2022-06-20,1
20220614,II,88.90,11.10,3.88,0.08,0.00,0.00,2022-06-14,2022-06-20,1
20220614,III,93.56,6.44,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20,1
20220614,IV,71.24,28.76,8.49,1.91,0.00,0.00,2022-06-14,2022-06-20,1
20220607,I,64.77,35.23,6.92,0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220607,II,86.49,13.51,3.51,0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220607,III,93.97,6.03,0.00,0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220607,IV,76.50,23.50,7.71,2.46,0.00,0.00,2022-06-07,2022-06-13,1
20220531,I,72.46,27.54,8.36,0.00,0.00,0.00,2022-05-31,2022-06-06,1
