MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20110208,MA,100,0,0,0,0,0,2/8/11,2/14/11,1
20110201,MA,100,0,0,0,0,0,2/1/11,2/7/11,1
20110125,MA,100,0,0,0,0,0,1/25/11,1/31/11,1
20110118,MA,100,0,0,0,0,0,1/18/11,1/24/11,1
20110111,MA,100,0,0,0,0,0,1/11/11,1/17/11,1
20110104,MA,100,0,0,0,0,0,1/4/11,1/10/11,1
20101228,MA,100,0,0,0,0,0,12/28/10,1/3/11,1
20101221,MA,100,0,0,0,0,0,12/21/10,12/27/10,1
20101214,MA,100,0,0,0,0,0,12/14/10,12/20/10,1
20101207,MA,100,0,0,0,0,0,12/7/10,12/13/10,1
20101130,MA,100,0,0,0,0,0,11/30/10,12/6/10,1
20101123,MA,100,0,0,0,0,0,11/23/10,11/29/10,1
20101116,MA,100,0,0,0,0,0,11/16/10,11/22/10,1
20101109,MA,100,0,0,0,0,0,11/9/10,11/15/10,1
20100706,MA,100,0,0,0,0,0,7/6/10,7/12/10,1
20100629,MA,100,0,0,0,0,0,6/29/10,7/5/10,1
20100622,MA,100,0,0,0,0,0,6/22/10,6/28/10,1
20100615,MA,100,0,0,0,0,0,6/15/10,6/21/10,1
20100608,MA,100,0,0,0,0,0,6/8/10,6/14/10,1
20100525,MA,100,0,0,0,0,0,5/25/10,5/31/10,1
20100518,MA,100,0,0,0,0,0,5/18/10,5/24/10,1
20100511,MA,100,0,0,0,0,0,5/11/10,5/17/10,1
20100504,MA,100,0,0,0,0,0,5/4/10,5/10/10,1
20100427,MA,100,0,0,0,0,0,4/27/10,5/3/10,1
20100420,MA,100,0,0,0,0,0,4/20/10,4/26/10,1
20100413,MA,100,0,0,0,0,0,4/13/10,4/19/10,1
20100406,MA,100,0,0,0,0,0,4/6/10,4/12/10,1
20100330,MA,100,0,0,0,0,0,3/30/10,4/5/10,1
20100323,MA,100,0,0,0,0,0,3/23/10,3/29/10,1
20100316,MA,100,0,0,0,0,0,3/16/10,3/22/10,1
20100309,MA,100,0,0,0,0,0,3/9/10,3/15/10,1
20100302,MA,100,0,0,0,0,0,3/2/10,3/8/10,1
20100223,MA,100,0,0,0,0,0,2/23/10,3/1/10,1
20100216,MA,100,0,0,0,0,0,2/16/10,2/22/10,1
20100209,MA,100,0,0,0,0,0,2/9/10,2/15/10,1
20100202,MA,100,0,0,0,0,0,2/2/10,2/8/10,1
20100126,MA,100,0,0,0,0,0,1/26/10,2/1/10,1
20100119,MA,100,0,0,0,0,0,1/19/10,1/25/10,1
20100112,MA,100,0,0,0,0,0,1/12/10,1/18/10,1
20100105,MA,100,0,0,0,0,0,1/5/10,1/11/10,1
20091229,MA,100,0,0,0,0,0,12/29/09,1/4/10,1
20091222,MA,100,0,0,0,0,0,12/22/09,12/28/09,1
20091215,MA,100,0,0,0,0,0,12/15/09,12/21/09,1
20091208,MA,100,0,0,0,0,0,12/8/09,12/14/09,1
20091201,MA,100,0,0,0,0,0,12/1/09,12/7/09,1
20091124,MA,100,0,0,0,0,0,11/24/09,11/30/09,1
20091117,MA,100,0,0,0,0,0,11/17/09,11/23/09,1
20091110,MA,100,0,0,0,0,0,11/10/09,11/16/09,1
20091103,MA,100,0,0,0,0,0,11/3/09,11/9/09,1
20091027,MA,100,0,0,0,0,0,10/27/09,11/2/09,1
20091020,MA,100,0,0,0,0,0,10/20/09,10/26/09,1
20091013,MA,100,0,0,0,0,0,10/13/09,10/19/09,1
20091006,MA,100,0,0,0,0,0,10/6/09,10/12/09,1
20090929,MA,100,0,0,0,0,0,9/29/09,10/5/09,1
20090922,MA,100,0,0,0,0,0,9/22/09,9/28/09,1
20090915,MA,100,0,0,0,0,0,9/15/09,9/21/09,1
20090908,MA,100,0,0,0,0,0,9/8/09,9/14/09,1
20090901,MA,100,0,0,0,0,0,9/1/09,9/7/09,1
20090825,MA,100,0,0,0,0,0,8/25/09,8/31/09,1
20090818,MA,100,0,0,0,0,0,8/18/09,8/24/09,1
20090811,MA,100,0,0,0,0,0,8/11/09,8/17/09,1
20090804,MA,100,0,0,0,0,0,8/4/09,8/10/09,1
20090728,MA,100,0,0,0,0,0,7/28/09,8/3/09,1
20090721,MA,100,0,0,0,0,0,7/21/09,7/27/09,1
20090714,MA,100,0,0,0,0,0,7/14/09,7/20/09,1
20090707,MA,100,0,0,0,0,0,7/7/09,7/13/09,1
20090630,MA,100,0,0,0,0,0,6/30/09,7/6/09,1
20090623,MA,100,0,0,0,0,0,6/23/09,6/29/09,1
20090602,MA,100,0,0,0,0,0,6/2/09,6/8/09,1
20090526,MA,100,0,0,0,0,0,5/26/09,6/1/09,1
20090519,MA,100,0,0,0,0,0,5/19/09,5/25/09,1
20090421,MA,100,0,0,0,0,0,4/21/09,4/27/09,1
20090414,MA,100,0,0,0,0,0,4/14/09,4/20/09,1
20090407,MA,100,0,0,0,0,0,4/7/09,4/13/09,1
20090331,MA,100,0,0,0,0,0,3/31/09,4/6/09,1
20090324,MA,100,0,0,0,0,0,3/24/09,3/30/09,1
20090317,MA,100,0,0,0,0,0,3/17/09,3/23/09,1
20090310,MA,100,0,0,0,0,0,3/10/09,3/16/09,1
20090303,MA,100,0,0,0,0,0,3/3/09,3/9/09,1
20090224,MA,100,0,0,0,0,0,2/24/09,3/2/09,1
20090217,MA,100,0,0,0,0,0,2/17/09,2/23/09,1
20090210,MA,100,0,0,0,0,0,2/10/09,2/16/09,1
20090203,MA,100,0,0,0,0,0,2/3/09,2/9/09,1
20090127,MA,100,0,0,0,0,0,1/27/09,2/2/09,1
20090120,MA,100,0,0,0,0,0,1/20/09,1/26/09,1
20090113,MA,100,0,0,0,0,0,1/13/09,1/19/09,1
20090106,MA,100,0,0,0,0,0,1/6/09,1/12/09,1
20081230,MA,100,0,0,0,0,0,12/30/08,1/5/09,1
20081223,MA,100,0,0,0,0,0,12/23/08,12/29/08,1
20081216,MA,100,0,0,0,0,0,12/16/08,12/22/08,1
20081209,MA,100,0,0,0,0,0,12/9/08,12/15/08,1
20081202,MA,100,0,0,0,0,0,12/2/08,12/8/08,1
20081125,MA,100,0,0,0,0,0,11/25/08,12/1/08,1
20081118,MA,100,0,0,0,0,0,11/18/08,11/24/08,1
20081111,MA,100,0,0,0,0,0,11/11/08,11/17/08,1
20081104,MA,100,0,0,0,0,0,11/4/08,11/10/08,1
20081028,MA,100,0,0,0,0,0,10/28/08,11/3/08,1
20081021,MA,100,0,0,0,0,0,10/21/08,10/27/08,1
20081014,MA,100,0,0,0,0,0,10/14/08,10/20/08,1
20081007,MA,100,0,0,0,0,0,10/7/08,10/13/08,1
20080930,MA,100,0,0,0,0,0,9/30/08,10/6/08,1
20080923,MA,100,0,0,0,0,0,9/23/08,9/29/08,1
20080916,MA,100,0,0,0,0,0,9/16/08,9/22/08,1
20080909,MA,100,0,0,0,0,0,9/9/08,9/15/08,1
20080902,MA,100,0,0,0,0,0,9/2/08,9/8/08,1
20080826,MA,100,0,0,0,0,0,8/26/08,9/1/08,1
20080819,MA,100,0,0,0,0,0,8/19/08,8/25/08,1
20080812,MA,100,0,0,0,0,0,8/12/08,8/18/08,1
20080805,MA,100,0,0,0,0,0,8/5/08,8/11/08,1
20080729,MA,100,0,0,0,0,0,7/29/08,8/4/08,1
20080603,MA,100,0,0,0,0,0,6/3/08,6/9/08,1
20080527,MA,100,0,0,0,0,0,5/27/08,6/2/08,1
20080520,MA,100,0,0,0,0,0,5/20/08,5/26/08,1
20080513,MA,100,0,0,0,0,0,5/13/08,5/19/08,1
20080506,MA,100,0,0,0,0,0,5/6/08,5/12/08,1
20080429,MA,100,0,0,0,0,0,4/29/08,5/5/08,1
20080422,MA,100,0,0,0,0,0,4/22/08,4/28/08,1
20080415,MA,100,0,0,0,0,0,4/15/08,4/21/08,1
20080408,MA,100,0,0,0,0,0,4/8/08,4/14/08,1
20080401,MA,100,0,0,0,0,0,4/1/08,4/7/08,1
20080325,MA,100,0,0,0,0,0,3/25/08,3/31/08,1
20080318,MA,100,0,0,0,0,0,3/18/08,3/24/08,1
20080311,MA,100,0,0,0,0,0,3/11/08,3/17/08,1
20080304,MA,100,0,0,0,0,0,3/4/08,3/10/08,1
20080226,MA,100,0,0,0,0,0,2/26/08,3/3/08,1
