"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2011-28",52,79,0,77.6858407079646,64.7920353982301,4.98672566371682,"2011-27"
"2011-29",64,113,0,81.5982532751092,69.9956331877729,3.86899563318777,"2011-28"
"2011-30",30,81,0,83.6717557251908,65.030534351145,3.18390804597701,"2011-29"
"2011-31",25,62,0,83.4303278688524,67.3237704918033,4.2798353909465,"2011-30"
"2011-32",32,64,0,87.8952702702703,65.5439189189189,2.93918918918919,"2011-31"
"2011-33",34,62,0,88.6472602739726,65.7123287671233,4.01027397260274,"2011-32"
"2011-34",15,102,0,84.5169811320755,67.7018867924528,7.53584905660378,"2011-33"
"2011-35",18,47,0,83.4029304029304,58.5257352941177,2.47985347985348,"2011-34"
"2011-36",4,23,55,92.745308310992,58.2332439678284,3.69973190348525,"2011-35"
"2011-37",15,31,65,85.2654545454546,56.7163636363636,3.36363636363636,"2011-36"
"2011-38",5,28,45,93.060773480663,63.1077348066298,2.3756906077348,"2011-37"
"2011-39",5,25,0,90.9559748427673,63.7610062893082,2.9125,"2011-38"
"2011-40",6,12,60,83.0905511811024,51.1062992125984,2.76377952755906,"2011-39"
"2011-41",6,7,54,86.2631578947368,56.3095975232198,4.47678018575851,"2011-40"
"2011-42",0,0,104,82.1628787878788,47.5416666666667,4.13257575757576,"2011-41"
"2011-43",0,0,222,84.2007722007722,39.027027027027,6.43023255813953,"2011-42"
"2011-44",0,0,206,82.6707317073171,34.5541125541126,2.86530612244898,"2011-43"
"2011-45",0,0,118,84.7216117216117,47.9512195121951,4.9250936329588,"2011-44"
"2011-46",0,0,65,80.1159420289855,47.5072463768116,6.50724637681159,"2011-45"
"2011-47",0,0,190,84.5364806866953,38.093023255814,4.09442060085837,"2011-46"
"2011-48",0,0,138,82.1598173515982,41.7971698113208,4.88584474885844,"2011-47"
"2011-49",0,0,171,87.5564516129033,43.1048387096774,5.38490566037736,"2011-48"
"2011-50",0,0,182,76.8190476190476,32.1904761904762,4.84285714285714,"2011-49"
"2011-51",0,0,158,78.9263157894737,34.9578947368421,4.93908629441624,"2011-50"
"2011-52",0,0,235,82.0874524714829,37.3802281368821,4.79467680608365,"2011-51"
"2012-01",0,0,181,59.3421052631579,27.5052631578947,5.5765306122449,"2011-52"
"2012-02",0,0,196,72.745,29.315,6.35,"2012-01"
"2012-03",0,0,237,77.2426778242678,26.2050209205021,5.94583333333333,"2012-02"
"2012-04",0,0,176,76.7323232323233,38.2121212121212,5.8018018018018,"2012-03"
"2012-05",0,0,164,61.9779005524862,30.8729281767956,4.94475138121547,"2012-04"
"2012-06",0,0,206,66.2259615384615,29.7932692307692,5.4423076923077,"2012-05"
"2012-07",0,0,225,76.8464912280702,33.1140350877193,3.36563876651982,"2012-06"
"2012-08",0,0,203,76.0327868852459,35.6666666666667,6.44196428571429,"2012-07"
"2012-09",0,0,247,81.8385826771654,35.007874015748,6.09022556390978,"2012-08"
"2012-10",0,0,130,59.4058823529412,34.3,9.90751445086705,"2012-09"
"2012-11",0,0,189,83.2490272373541,41.7354085603113,3.61240310077519,"2012-10"
"2012-12",2,14,97,78.7510040160643,50.0602409638554,4.28112449799197,"2012-11"
"2012-13",0,0,258,72.6383763837638,35.5,4.62730627306272,"2012-12"
"2012-14",0,0,128,54.5166666666667,36.4444444444444,6.10614525139665,"2012-13"
"2012-15",0,0,115,65.9813953488372,40.4976744186046,4.96728971962617,"2012-14"
"2012-16",14,19,39,69.8530805687204,52.7630331753555,6.00473933649289,"2012-15"
"2012-17",0,0,67,62.9310344827586,45.7290640394089,9.36453201970444,"2012-16"
"2012-18",0,0,88,83.6702898550724,48.4420289855072,4.2536231884058,"2012-17"
"2012-19",3,12,27,73.15625,52.8616071428571,6.21171171171171,"2012-18"
"2012-20",3,8,56,77.5696721311476,54.6885245901639,4.69294605809129,"2012-19"
"2012-21",7,27,4,88.9598765432099,61.4814814814815,3.79012345679012,"2012-20"
"2012-22",14,41,0,82.172794117647,61.139705882353,5.88560885608856,"2012-21"
"2012-23",2,21,42,85.3225806451613,51.871186440678,3.89411764705883,"2012-22"
"2012-24",0,0,102,84.0265486725664,54.9705014749263,3.53392330383481,"2012-23"
"2012-25",52,70,42,77.9330708661417,61.8937007874016,3.40944881889764,"2012-24"
"2012-26",37,58,0,76.5153846153846,64.1576923076923,4.67692307692307,"2012-25"
"2012-27",68,93,0,78.6666666666667,65.360153256705,2.61867704280156,"2012-26"
"2012-28",64,93,0,70.8636363636364,63.1727272727273,3.24311926605505,"2012-27"
"2012-29",54,84,0,77.6913580246914,64.5925925925926,3.13168724279835,"2012-28"
"2012-30",37,87,0,80.5687732342007,67.2899628252788,5.31598513011152,"2012-29"
"2012-31",63,139,0,83.2025316455696,68.2436708860759,4.13607594936708,"2012-30"
"2012-32",75,190,0,84.3208556149733,69.0614973262032,4.56836461126006,"2012-31"
"2012-33",39,61,0,84,65.3595890410959,2.76206896551724,"2012-32"
